City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Cockburn Town,TC,2021-10-04 18:12:54,21.4612,-71.1419,83.82,74,100,21.74
163,Manado,ID,2021-10-04 18:14:20,1.487,124.8455,77.77,94,40,0.0
164,Talaya,RU,2021-10-04 18:14:22,61.3833,152.75,11.26,96,91,4.97
165,Saldanha,ZA,2021-10-04 18:14:22,-33.0117,17.9442,59.23,70,34,14.03
166,Vila Franca Do Campo,PT,2021-10-04 18:14:22,37.7167,-25.4333,73.81,79,100,4.74
167,Pitimbu,BR,2021-10-04 18:14:23,-7.4706,-34.8086,84.79,65,21,14.99
168,Lasa,IT,2021-10-04 18:14:23,46.6166,10.7002,61.02,98,100,5.46
169,Toora-Khem,RU,2021-10-04 18:14:24,52.4675,96.11,25.79,61,38,0.98
170,Guiyang,CN,2021-10-04 18:14:24,26.5833,106.7167,67.48,87,1,9.91
171,Norman Wells,CA,2021-10-04 18:14:24,65.282,-126.8329,32.04,93,75,20.71
172,Aitape,PG,2021-10-04 18:14:25,-3.1374,142.3475,76.51,92,99,4.43
173,Meulaboh,ID,2021-10-04 18:14:25,4.1363,96.1285,76.69,83,76,2.19
174,Haines Junction,CA,2021-10-04 18:14:26,60.7522,-137.5108,33.85,81,80,2.51
175,Imbituba,BR,2021-10-04 18:14:26,-28.24,-48.6703,65.82,83,100,10.02
176,Yellowknife,CA,2021-10-04 18:13:24,62.456,-114.3525,39.42,99,100,13.71
177,Tual,ID,2021-10-04 18:14:26,-5.6667,132.75,80.85,73,55,9.22
178,Balikpapan,ID,2021-10-04 18:12:39,-1.2675,116.8289,74.07,88,100,4.21
179,Yar-Sale,RU,2021-10-04 18:14:27,66.8333,70.8333,36.19,93,100,12.03
180,Aras,ES,2021-10-04 18:14:27,42.5617,-2.356,61.21,48,0,6.91
181,Igrim,RU,2021-10-04 18:14:29,63.1906,64.4162,32.16,77,100,5.53
182,Varhaug,NO,2021-10-04 18:14:29,58.6147,5.6457,56.89,82,86,18.57
183,Tymovskoye,RU,2021-10-04 18:14:30,50.8456,142.655,34.16,90,66,1.66
184,Luderitz,NA,2021-10-04 18:14:30,-26.6481,15.1594,58.23,73,3,3.91
185,Jamestown,US,2021-10-04 18:14:31,42.097,-79.2353,72.72,83,90,4.0
186,Constitucion,CL,2021-10-04 18:14:31,-35.3333,-72.4167,60.51,51,13,17.16
187,Mushie,CD,2021-10-04 18:14:31,-3.0167,16.9,76.26,81,93,1.21
188,Sistranda,NO,2021-10-04 18:14:33,63.7256,8.834,54.9,70,96,2.75
189,Leh,IN,2021-10-04 18:14:33,34.1667,77.5833,50.18,37,68,4.83
190,Harper,LR,2021-10-04 18:14:34,4.375,-7.7169,79.27,83,36,6.2
191,Hailin,CN,2021-10-04 18:14:34,44.5833,129.4167,39.76,81,100,2.62
192,Esil,KZ,2021-10-04 18:14:34,51.9556,66.4042,30.83,76,47,13.35
193,Ridge,US,2021-10-04 18:14:35,40.894,-72.8959,70.84,89,90,1.01
194,Kirakira,SB,2021-10-04 18:14:35,-10.4544,161.9205,78.66,85,86,4.79
195,Nisia Floresta,BR,2021-10-04 18:14:36,-6.0911,-35.2086,86.81,61,10,15.88
196,Altay,CN,2021-10-04 18:14:37,47.8667,88.1167,37.8,44,94,6.04
197,Ahipara,NZ,2021-10-04 18:14:37,-35.1667,173.1667,58.26,97,36,3.71
198,Yaan,NG,2021-10-04 18:14:38,7.3833,8.5667,81.54,69,20,1.9
199,Ensley,US,2021-10-04 18:14:18,30.5188,-87.2728,77.92,90,90,1.01
200,Half Moon Bay,US,2021-10-04 18:14:38,37.4636,-122.4286,87.75,56,1,0.0
201,Zhob,PK,2021-10-04 18:14:39,31.3411,69.4481,75.61,28,0,2.91
202,Esperance,AU,2021-10-04 18:14:39,-33.8667,121.9,54.64,74,86,10.98
203,Nacogdoches,US,2021-10-04 18:14:39,31.6002,-94.6335,86.11,43,20,6.91
204,Upernavik,GL,2021-10-04 18:14:40,72.7868,-56.1549,30.27,72,54,4.54
205,Port Blair,IN,2021-10-04 18:14:40,11.6667,92.75,80.69,81,42,8.9
206,Cayenne,GF,2021-10-04 18:14:41,4.9333,-52.3333,89.64,73,40,8.01
207,Newport,GB,2021-10-04 18:14:41,51.5877,-2.9984,58.44,86,93,12.86
208,Portland,US,2021-10-04 18:13:11,45.5234,-122.6762,61.9,85,90,1.01
209,Yazman,PK,2021-10-04 18:14:42,29.1212,71.7446,94.35,37,10,11.23
210,Gat,IL,2021-10-04 18:12:03,31.61,34.7642,75.88,63,0,7.4
211,Oranjemund,NA,2021-10-04 18:14:42,-28.55,16.4333,57.58,75,0,13.62
212,Sao Filipe,CV,2021-10-04 18:14:43,14.8961,-24.4956,81.81,75,15,5.14
213,Raahe,FI,2021-10-04 18:14:43,64.6833,24.4833,53.69,87,100,20.29
214,Roald,NO,2021-10-04 18:14:43,62.5833,6.1333,55.9,76,40,10.36
215,Yarada,IN,2021-10-04 18:14:44,17.65,83.2667,82.72,83,20,2.3
216,Carmo Do Paranaiba,BR,2021-10-04 18:14:45,-19.0008,-46.3161,91.74,38,15,5.61
217,Boysun,UZ,2021-10-04 18:14:45,38.2061,67.1986,53.91,42,0,3.89
