City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Sioux Lookout,CA,50.1001,-91.917,64.78,88,75,2.3,broken clouds
196,Riyadh,SA,24.6877,46.7219,75.34,22,0,5.61,clear sky
197,Vidim,RU,56.4088,103.1106,34.77,96,100,9.42,overcast clouds
198,Coolum Beach,AU,-26.5333,153.1,80.33,67,0,7.65,clear sky
199,Tasiilaq,GL,65.6145,-37.6368,35.76,80,100,8.55,overcast clouds
200,Herat,AF,34.5,62.0,43.27,34,0,14.25,clear sky
201,Mahebourg,MU,-20.4081,57.7,68.29,88,75,2.3,light rain
202,Quatre Cocos,MU,-20.2078,57.7625,68.11,78,32,13.91,scattered clouds
203,Skelleftea,SE,64.7507,20.9528,44.96,100,9,3.44,fog
204,Novaya Zaimka,RU,56.4857,66.9241,36.64,77,95,10.18,overcast clouds
205,San Quintin,MX,30.4833,-115.95,68.83,75,6,22.41,clear sky
206,Bokhan,RU,53.153,103.7714,35.4,91,89,4.29,overcast clouds
207,Mandalgovi,MN,45.7625,106.2708,29.37,92,100,25.37,light snow
208,College,US,64.8569,-147.8028,42.75,77,75,6.91,broken clouds
209,Torbay,CA,47.6666,-52.7314,46.58,78,75,23.02,light rain
210,Moose Factory,CA,51.2585,-80.6094,62.6,77,75,5.75,broken clouds
211,Gimli,CA,50.6336,-96.9907,54.43,87,100,8.05,overcast clouds
212,Dikson,RU,73.5069,80.5464,27.9,81,100,26.06,light snow
213,Trelew,AR,-43.249,-65.3051,67.14,20,93,3.44,overcast clouds
214,Kaniama,CD,-7.5667,24.1833,69.19,78,3,1.36,clear sky
215,Aden,YE,12.7794,45.0367,83.75,71,100,16.49,overcast clouds
216,Chalinze,TZ,-6.6378,38.354,67.73,92,2,1.12,clear sky
217,Carahue,CL,-38.7,-73.1667,52.0,99,14,2.13,few clouds
218,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,2.3,light rain
219,Faanui,PF,-16.4833,-151.75,78.51,69,23,3.29,few clouds
220,Tandil,AR,-37.3217,-59.1332,51.31,67,100,3.85,overcast clouds
221,Kudahuvadhoo,MV,2.6708,72.8944,83.7,67,100,12.82,overcast clouds
222,Aransas Pass,US,27.9095,-97.15,80.83,72,1,7.0,clear sky
223,Fare,PF,-16.7,-151.0167,78.26,69,0,3.24,clear sky
224,Geraldton,AU,-28.7667,114.6,63.01,55,4,12.66,clear sky
225,Clarence Town,AU,-32.5833,151.7833,85.06,28,5,4.16,clear sky
226,Chernyshevskiy,RU,63.0128,112.4714,33.6,92,100,12.75,overcast clouds
227,Lorengau,PG,-2.0226,147.2712,85.64,61,98,7.92,overcast clouds
228,Udachnyy,RU,66.4167,112.4,34.25,95,100,20.78,light rain
229,Deputatskiy,RU,69.3,139.9,16.43,87,58,3.36,broken clouds
230,Zhumadian,CN,32.9794,114.0294,60.46,86,100,8.3,overcast clouds
231,Varzelandia,BR,-15.7014,-44.0275,75.34,61,23,14.27,moderate rain
232,Atlantic City,US,39.3643,-74.4229,68.99,86,75,0.0,broken clouds
233,Toktogul,KG,41.8708,72.9402,53.76,62,100,3.04,overcast clouds
234,Chapar,IN,26.2667,90.4667,78.3,86,5,1.61,light rain
235,Voyvozh,RU,62.892,54.9635,33.58,79,100,8.1,overcast clouds
