City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Labuhan,ID,83.98,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
304,Shimoda,JP,75.56,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
305,Bandarbeyla,SO,78.15,scattered clouds,9.4942,50.8122,JABIR HOTEL
309,Morondava,MG,75.24,overcast clouds,-20.2833,44.2833,La Case Bambou
310,Kuah,MY,78.8,few clouds,6.3265,99.8432,Azio Hotel
313,Mapimi,MX,84.97,clear sky,25.8167,-103.85,Propiedad Lldm
314,Guhagar,IN,76.17,overcast clouds,17.4842,73.1929,Hotel Seawinds
320,Veraval,IN,81.91,overcast clouds,20.9,70.3667,Lords Inn Somnath
322,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
323,Port-Gentil,GA,77.95,moderate rain,-0.7193,8.7815,Fengshui Residence
324,Hithadhoo,MV,82.42,overcast clouds,-0.6,73.0833,Scoop Guest House
326,Axim,GH,77.36,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
330,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
337,Nouakchott,MR,80.53,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
339,Qui Nhon,VN,80.62,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
340,Katherine,AU,88.12,clear sky,-14.4667,132.2667,Pine Tree Motel
344,Hirara,JP,84.06,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
349,Corrales,US,79.84,clear sky,35.2378,-106.6067,Quality Inn
356,Majene,ID,82.08,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
357,Luganville,VU,80.11,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
365,Port Lavaca,US,79.3,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
370,Payo,ID,81.01,few clouds,-3.7508,103.6372,Mess keban agung
372,Santa Cruz Cabralia,BR,75.43,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
374,Yanam,IN,82.8,overcast clouds,16.7333,82.2167,The Regency Hotel
375,Brownwood,US,83.52,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
382,Kupang,ID,85.89,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
